keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
creative writing prompts,1,8000,58,0.15,I,writing prompt,ok,,,,,,,,,,
writing prompt generator,2,6600,60,0.83,I,writing prompt,ok,,,,,,,,,,
ai prompt generator,3,6600,66,1.02,I,ai prompt,ok,,,,,,,,,,
chatgpt prompts,4,6600,70,0.53,I,chatgpt prompt,ok,,,,,,,,,,
prompt engineering jobs,5,4400,67,0.14,I,prompt engineering,ok,,,,,,,,,,
ai prompts,6,4400,72,1.11,I,ai prompt,ok,,,,,,,,,,
prompt ai,7,3600,68,1.2,I,ai prompt,ok,,,,,,,,,,
writing prompts for middle school,8,2400,53,0.06,I,writing prompt,ok,,,,,,,,,,
prompt engineering course,9,3100,74,3.41,I,prompt engineering,ok,,,,,,,,,,
writing prompts 3rd grade,10,1300,45,0.08,I,writing prompt,ok,,,,,,,,,,
prompting ai,11,1900,67,1.2,I,ai prompt,ok,,,,,,,,,,
best chatgpt prompts,12,1900,70,0.92,I,chatgpt prompt,ok,,,,,,,,,,
write prompts,13,1600,63,0.32,I,writing prompt,ok,,,,,,,,,,
prompt engineer jobs,14,1600,68,0.14,I,prompt engineering,ok,,,,,,,,,,
write a prompt,15,1600,71,0.32,I,writing prompt,ok,,,,,,,,,,
prompt writing,16,1600,72,0.32,I,writing prompt,ok,,,,,,,,,,
prompts for chatgpt,17,1500,68,0.75,I,chatgpt prompt,ok,,,,,,,,,,
prompts for writing,18,1300,62,0.32,I,writing prompt,ok,,,,,,,,,,
ai image prompt,19,1300,64,0.85,I,ai prompt,ok,,,,,,,,,,
prompts generator,20,910,45,0.85,I,prompt generator,ok,,,,,,,,,,
writing prompts generator,21,1100,61,0.83,I,writing prompt,ok,,,,,,,,,,
best ai prompts,22,720,41,1.08,I,ai prompt,ok,,,,,,,,,,
generator prompt,23,910,53,0.85,I,prompt generator,ok,,,,,,,,,,
prompt engineering guide,24,810,58,1.86,"I,N",prompt engineering,ok,,,,,,,,,,
fun writing prompts,25,1000,61,0.1,I,writing prompt,ok,,,,,,,,,,
ai prompting,26,880,63,1.11,I,ai prompt,ok,,,,,,,,,,
ai video prompt,27,590,42,0.69,I,ai prompt,ok,,,,,,,,,,
midjourney prompts generator,28,590,44,1.09,I,midjourney prompt,ok,,,,,,,,,,
ai story generator based on prompt,29,590,47,0.8,I,ai prompt,ok,,,,,,,,,,
prompt engineering examples,30,480,42,0.71,I,prompt engineering,ok,,,,,,,,,,
prompt chatgpt,31,590,53,1.03,I,chatgpt prompt,ok,,,,,,,,,,
ai prompt image generator,32,480,43,0.87,I,ai prompt,ok,,,,,,,,,,
ai prompt writer,33,590,55,0.92,I,ai prompt,ok,,,,,,,,,,
ai writing prompt,34,480,47,0.8,I,ai prompt,ok,,,,,,,,,,
ai writing prompts,35,480,47,0.8,I,ai prompt,ok,,,,,,,,,,
prompt engineering tools,36,480,49,2.11,I,prompt engineering,ok,,,,,,,,,,
prompt engineering techniques,37,480,51,0.56,I,prompt engineering,ok,,,,,,,,,,
free ai prompt generator,38,480,52,0.94,I,ai prompt,ok,,,,,,,,,,
prompt engineering tool,39,480,54,2.11,I,prompt engineering,ok,,,,,,,,,,
ai logo generator with prompt,40,480,55,1.2,I,ai prompt,ok,,,,,,,,,,
prompts ai,41,440,51,1.2,I,ai prompt,ok,,,,,,,,,,
ai prompt generator free,42,480,56,1.04,I,ai prompt,ok,,,,,,,,,,
prompts for ai,43,480,56,1.02,I,ai prompt,ok,,,,,,,,,,
ai prompt writing,44,590,70,0.92,I,ai prompt,ok,,,,,,,,,,
prompt engineering for chatgpt,45,480,57,3.26,I,chatgpt prompt,ok,,,,,,,,,,
prompt for ai,46,480,60,1.02,I,ai prompt,ok,,,,,,,,,,
prompt engineer ai,47,480,60,2.49,I,ai prompt,ok,,,,,,,,,,
prompt engineering ai,48,480,65,2.49,I,ai prompt,ok,,,,,,,,,,
ai write prompt,49,480,65,0.8,I,ai prompt,ok,,,,,,,,,,
prompt engineers ai,50,480,71,2.49,I,ai prompt,ok,,,,,,,,,,
drawing prompt generator,51,1100,51,1.12,I,prompt generator,irrelevant,,,,,,,,,,
