keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
what month is gemini,1,4400,71,0.02,I,what is gemini,ok,,,,,,,,,,
what element is gemini,2,3200,60,0.01,I,what is gemini,ok,,,,,,,,,,
what is a gemini,3,2400,71,0.05,I,what is gemini,ok,,,,,,,,,,
what is rest api,4,2400,74,0.03,I,what is api,ok,,,,,,,,,,
what is python used for,5,2400,75,0.21,I,what is python,ok,,,,,,,,,,
what sign is gemini,6,1900,67,0.01,I,what is gemini,ok,,,,,,,,,,
what is a python,7,910,55,0.15,I,what is python,ok,,,,,,,,,,
sql what is it,8,590,47,0.59,I,what is sql,ok,,,,,,,,,,
chatgpt what is it,9,660,53,0.15,I,what is chatgpt,ok,,,,,,,,,,
what is gemini ai,10,720,61,0.4,I,what is gemini,ok,,,,,,,,,,
api what is,11,660,58,0.06,I,what is api,ok,,,,,,,,,,
what month is a gemini born in,12,590,52,0.01,I,what is gemini,ok,,,,,,,,,,
what is a good apy,13,590,53,1.43,I,what is api,ok,,,,,,,,,,
what is an sql,14,480,43,0.46,I,what is sql,ok,,,,,,,,,,
web api what is,15,480,44,0.04,I,what is api,ok,,,,,,,,,,
what is saas stands for,16,590,55,0.23,I,what is saas,ok,,,,,,,,,,
what is a sql,17,500,47,0.59,I,what is sql,ok,,,,,,,,,,
what is apy rate,18,480,46,0.23,I,what is api,ok,,,,,,,,,,
what is a rest api,19,480,47,0.03,I,what is api,ok,,,,,,,,,,
sql what is,20,500,49,0.59,I,what is sql,ok,,,,,,,,,,
what type of language is python,21,480,48,0,I,what is python,ok,,,,,,,,,,
what is monty python,22,480,48,0,I,what is python,ok,,,,,,,,,,
what is saas stand for,23,590,60,0.23,I,what is saas,ok,,,,,,,,,,
what is a sql injection attack,24,480,51,0.12,I,what is sql,ok,,,,,,,,,,
what is an sql injection attack,25,480,51,0.12,I,what is sql,ok,,,,,,,,,,
what is sql injection attacks,26,480,51,0.12,I,what is sql,ok,,,,,,,,,,
what is an apy rate,27,480,53,0.23,I,what is api,ok,,,,,,,,,,
what is a saas application,28,480,65,0.55,"I,N",what is saas,ok,,,,,,,,,,
what is a saas app,29,480,65,0.55,"I,N",what is saas,ok,,,,,,,,,,
what is sql injection attack,30,480,55,0.12,I,what is sql,ok,,,,,,,,,,
what is saas mean,31,480,58,0.35,I,what is saas,ok,,,,,,,,,,
what is saas app,32,480,59,0.55,I,what is saas,ok,,,,,,,,,,
what is saas application,33,480,62,0.55,I,what is saas,ok,,,,,,,,,,
what is saas meaning,34,480,64,0.35,I,what is saas,ok,,,,,,,,,,
