keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
pricing tiers,1,1900,65,2.18,I,tiered pricing,ok,,,,,,,,,,
psychological pricing,2,1500,67,0.37,I,pricing psychology,ok,,,,,,,,,,
adani enterprises share price,3,1300,66,0,I,enterprise pricing,ok,,,,,,,,,,
pricing models for saas,4,590,46,4.94,"I,N",saas pricing model,ok,,,,,,,,,,
pricing model for saas,5,590,48,4.94,"I,N",saas pricing model,ok,,,,,,,,,,
netflix subscription price,6,810,58,0.7,I,subscription pricing,ok,,,,,,,,,,
saas model pricing,7,590,44,4.94,I,saas pricing model,ok,,,,,,,,,,
saas price model,8,590,44,4.94,I,saas pricing model,ok,,,,,,,,,,
pricing model saas,9,590,45,4.94,I,saas pricing model,ok,,,,,,,,,,
spotify subscription price,10,540,44,1.27,I,subscription pricing,ok,,,,,,,,,,
tier pricing,11,480,43,2.18,I,tiered pricing,ok,,,,,,,,,,
subscription prices,12,480,53,2.74,"I,N",subscription pricing,ok,,,,,,,,,,
netflix tier pricing,13,480,51,0,I,tiered pricing,ok,,,,,,,,,,
amazon video subscription price,14,480,60,0.15,I,subscription pricing,ok,,,,,,,,,,
amazon prime video subscription price,15,480,63,0.15,I,subscription pricing,ok,,,,,,,,,,
