keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
who created chatgpt,1,9900,72,0.02,I,chatgpt,ok,,,,,,,,,,
what is google gemini,2,6600,76,0.21,"I,N",gemini,ok,,,,,,,,,,
what is the gemini stone,3,590,5,0.04,I,gemini,ok,,,,,,,,,,
when was chatgpt released,4,6600,71,0,I,chatgpt,ok,,,,,,,,,,
how to use bolt cutters,5,590,6,0,I,how to use bolt,ok,,,,,,,,,,
what is cursor,6,4400,65,0.87,"I,N",cursor,ok,,,,,,,,,,
how to use self tapping bolts,7,390,4,0,I,how to use bolt,ok,,,,,,,,,,
how do you change the cursor on a mac,8,590,7,0,I,cursor,ok,,,,,,,,,,
how to use a bolt cutter,9,590,7,0,I,how to use bolt,ok,,,,,,,,,,
how to use bolt cutter,10,590,7,0,I,how to use bolt,ok,,,,,,,,,,
how much does chatgpt cost,11,5400,74,0.41,I,chatgpt,ok,,,,,,,,,,
how much is chatgpt,12,5400,75,0.65,I,chatgpt,ok,,,,,,,,,,
how to use copilot,13,5400,75,0.46,I,copilot,ok,,,,,,,,,,
how to change the cursor on a mac,14,590,8,0,I,cursor,ok,,,,,,,,,,
how to make custom cursor,15,590,8,0,I,cursor,ok,,,,,,,,,,
what month is gemini,16,4400,71,0.02,I,gemini,ok,,,,,,,,,,
what do gemini men like in a woman,17,590,9,0.01,I,gemini,ok,,,,,,,,,,
what does a gemini man look for in a woman,18,590,9,0.01,I,gemini,ok,,,,,,,,,,
what does a gemini man like in a woman,19,590,9,0.01,I,gemini,ok,,,,,,,,,,
what does gemini man like in a woman,20,590,9,0.01,I,gemini,ok,,,,,,,,,,
how to get a gemini man,21,390,6,0.01,I,gemini,ok,,,,,,,,,,
how to attract gemini male,22,390,6,0.01,I,gemini,ok,,,,,,,,,,
how to use gemini,23,3600,78,0.18,"I,N",gemini,ok,,,,,,,,,,
what does a gemini man want in a woman,24,590,10,0.01,I,gemini,ok,,,,,,,,,,
what element is gemini,25,3200,60,0.01,I,gemini,ok,,,,,,,,,,
how to attract a gemini male,26,390,7,0.01,I,gemini,ok,,,,,,,,,,
how to attract a gemini guy,27,390,7,0.01,I,gemini,ok,,,,,,,,,,
how to attract gemini men,28,390,7,0.01,I,gemini,ok,,,,,,,,,,
how to catch a gemini man,29,390,7,0.01,I,gemini,ok,,,,,,,,,,
why is my cursor moving on its own,30,390,7,0,I,cursor,ok,,,,,,,,,,
how to know if a gemini man likes you,31,480,9,0.01,I,gemini,ok,,,,,,,,,,
how to tell if a gemini man likes you,32,480,9,0.01,I,gemini,ok,,,,,,,,,,
how to know if a gemini guy likes you,33,480,9,0.01,I,gemini,ok,,,,,,,,,,
how do you know if gemini man likes you,34,480,9,0.01,I,gemini,ok,,,,,,,,,,
how do you know if a gemini man likes you,35,480,9,0.01,I,gemini,ok,,,,,,,,,,
how to tell if a gemini guy likes you,36,480,9,0.01,I,gemini,ok,,,,,,,,,,
how can you tell if a gemini man likes you,37,480,9,0.01,I,gemini,ok,,,,,,,,,,
what is microsoft 365 copilot,38,3600,78,0.49,I,copilot,ok,,,,,,,,,,
how to change a cursor on a mac,39,590,12,0,I,cursor,ok,,,,,,,,,,
how to make a custom cursor,40,590,12,0,I,cursor,ok,,,,,,,,,,
how to change mouse cursor,41,3100,74,0,I,cursor,ok,,,,,,,,,,
what is copilot microsoft,42,3200,78,0.3,I,copilot,ok,,,,,,,,,,
what is gemini birthstone color,43,480,11,0.04,I,gemini,ok,,,,,,,,,,
how to unlock cursor pad on hp laptop,44,480,11,0,I,cursor,ok,,,,,,,,,,
how to change cursor on chromebook,45,320,7,0,I,cursor,ok,,,,,,,,,,
how to use a molly bolt,46,480,11,0.02,I,how to use bolt,ok,,,,,,,,,,
how to use a toggle bolt in drywall,47,320,7,0.02,I,how to use bolt,ok,,,,,,,,,,
how to use toggle bolts in drywall,48,320,7,0.02,I,how to use bolt,ok,,,,,,,,,,
what do gemini men like in women,49,590,14,0.01,I,gemini,ok,,,,,,,,,,
how to turn off microsoft copilot,50,590,14,0,I,copilot,ok,,,,,,,,,,
how to impress a gemini man,51,390,9,0.01,I,gemini,ok,,,,,,,,,,
how to charm a gemini man,52,390,9,0.01,I,gemini,ok,,,,,,,,,,
what color is gemini birthstone,53,480,12,0.04,I,gemini,ok,,,,,,,,,,
how to attract gemini man,54,390,10,0.01,I,gemini,ok,,,,,,,,,,
how to attract a gemini man,55,390,10,0.01,I,gemini,ok,,,,,,,,,,
how to change cursor size on mac,56,390,10,0,I,cursor,ok,,,,,,,,,,
how to use bolt extractor tool,57,390,10,0.02,I,how to use bolt,ok,,,,,,,,,,
what is a gemini,58,2400,71,0.05,I,gemini,ok,,,,,,,,,,
how to change cursor on mac,59,590,17,0,I,cursor,ok,,,,,,,,,,
what is cursor in sql,60,260,7,0,I,cursor,ok,,,,,,,,,,
what are sql cursors,61,260,7,0,I,cursor,ok,,,,,,,,,,
what is a cursor in sql,62,260,7,0,I,cursor,ok,,,,,,,,,,
how to disable microsoft copilot,63,480,14,0,I,copilot,ok,,,,,,,,,,
what stone is gemini,64,590,18,0.04,I,gemini,ok,,,,,,,,,,
how to make custom cursors,65,590,18,0,I,cursor,ok,,,,,,,,,,
how to change your cursor,66,810,26,0,I,cursor,ok,,,,,,,,,,
gemini man when in love,67,590,19,0.01,I,gemini,ok,,,,,,,,,,
how to get chatgpt,68,2400,81,0.98,I,chatgpt,ok,,,,,,,,,,
what are cursors in sql,69,260,8,0,I,cursor,ok,,,,,,,,,,
what is the cursor in sql,70,260,8,0,I,cursor,ok,,,,,,,,,,
how do you change your cursor on a mac,71,260,8,0,I,cursor,ok,,,,,,,,,,
how to use bolt extractor socket,72,260,8,0,I,how to use bolt,ok,,,,,,,,,,
what sign is gemini,73,1900,67,0.01,I,gemini,ok,,,,,,,,,,
how to use microsoft copilot,74,920,32,0.74,I,copilot,ok,,,,,,,,,,
who invented chatgpt,75,1900,70,0.02,I,chatgpt,ok,,,,,,,,,,
how to get custom cursors,76,590,22,0,I,cursor,ok,,,,,,,,,,
how much is microsoft copilot,77,480,37,1.27,C,copilot,ok,,,,,,,,,,
how do i get my cursor back,78,320,12,0,I,cursor,ok,,,,,,,,,,
how to trick chatgpt,79,390,16,0.07,I,chatgpt,ok,,,,,,,,,,
why chatgpt is not working,80,480,21,0.12,I,chatgpt,ok,,,,,,,,,,
what animal represents gemini,81,320,14,0,I,gemini,ok,,,,,,,,,,
how to change cursor,82,1500,72,0,I,cursor,ok,,,,,,,,,,
why do people hate geminis,83,260,12,0,I,gemini,ok,,,,,,,,,,
how to customize your cursor on mac,84,260,12,0,I,cursor,ok,,,,,,,,,,
how to change your mouse cursor mac,85,260,12,0,I,cursor,ok,,,,,,,,,,
how to change cursors on mac,86,260,12,0,I,cursor,ok,,,,,,,,,,
how to make cursor smaller,87,260,12,0,I,cursor,ok,,,,,,,,,,
how to change your cursor on macbook,88,260,12,0,I,cursor,ok,,,,,,,,,,
how to know if a gemini man loves you,89,480,24,0.01,I,gemini,ok,,,,,,,,,,
what does gemini constellation look like,90,590,32,0,I,gemini,ok,,,,,,,,,,
how to make money using chatgpt,91,320,17,0.92,I,chatgpt,ok,,,,,,,,,,
what is sql cursor,92,260,14,0,I,cursor,ok,,,,,,,,,,
how to change cursor color,93,1300,76,0,I,cursor,ok,,,,,,,,,,
